Signal (dBm),Speed (m/s),Distance from site (m),Call Test Duration (s),Call Test Result,Call Test Technology,Call Test Setup Time (s),MOS
-65,0,551.25,60,1,1,3.74,2
-107,0,812.81,90,1,2,0.63,4
-107,0,813.14,90,1,2,0.45,4
-107,0,813.32,90,1,2,0.44,4
-107,0,813.47,90,1,2,0.5,4
-105,0,813.85,90,1,2,0.49,4
-107,0,813.94,90,1,2,0.44,4
-107,0,814.1,90,1,2,0.41,4
-99,0,961.02,60,1,1,3.54,1
-107,0,814.02,90,1,2,0.45,4
-140,11.68000031,4083.65,289.23,0,2,0,4
-107,0,814.22,90,1,2,0.48,4
-107,0,814.61,90,1,2,0.45,4
-107,0,815.16,90,1,2,0.4,4
-99,0,950.3,60,1,1,3.37,1
-111,18.40999985,11026.39,237.22,0,0,0,2
-107,0,815.79,90,1,2,0.4,4
-107,0,816,90,1,2,0.45,4
-107,0,816.08,90,1,2,0.41,4
-107,0,816.32,90,1,2,0.42,4
-130,13.72000027,9879.93,40.83,0,2,0,4
-107,0,816.51,90,1,2,0.43,4
-107,0,816.55,90,1,2,0.39,4
-107,0,816.79,90,1,2,0.48,4
-107,0,817.06,90,1,2,0.51,4
-95,0,955.5,60,1,1,3.4,1
-107,0,817.21,90,1,2,0.39,4
-107,0,817.22,90,1,2,0.54,4
-73,21.78000069,726.12,600,1,1,0,2
-107,0,817.85,90,1,2,0.52,4
-107,0,818.37,90,1,2,0.42,4
-107,0,818.49,90,1,2,0.45,4
-107,0,818.77,90,1,2,0.48,4
-107,0,818.89,90,1,2,0.41,4
-71,19.34000015,685.43,600,1,0,0,2
-107,0,819.14,90,1,2,0.44,4
-107,0,819.24,90,1,2,0.52,4
-107,0,819.65,90,1,2,0.5,4
-107,0,819.86,90,1,2,0.4,4
-85,21.70000076,728.97,600,1,1,0,3
-107,0,819.97,90,1,2,0.47,4
-107,0,820.44,90,1,2,0.43,4
-107,0,821.21,90,1,2,0.45,4
-81,30.02000046,754.58,600,1,1,0,2
-107,0,821.34,90,1,2,0.38,4
-107,0,821.44,90,1,2,0.45,4
-107,0,821.65,90,1,2,0.44,4
-107,0,821.66,90,1,2,0.42,4
-107,0,821.73,90,1,2,0.5,4
-107,0,821.8,90,1,2,0.44,4
-107,0,821.92,90,1,2,0.47,4
-107,0,821.93,90,1,2,0.46,4
-79,30.46999931,3903.35,600,1,1,0,2
-107,0,821.98,90,1,2,0.47,4
-107,0,822.09,90,1,2,0.44,4
-107,0,822.17,90,1,2,0.43,4
-107,0,822.29,90,1,2,0.48,4
-107,0,822.35,90,1,2,0.47,4
-77,25.67000008,991.82,600,1,1,0,1
-107,0,822.49,90,1,2,0.39,4
-107,0,822.55,90,1,2,0.46,4
